"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
154.32,154.39,154.27,154.3,51,154.325,0,42,58,0,0,1.02090430986009,153.34864,154.937345172171,151.759934827829,154.142992586085,152.554287413915,154.1427,154.431842543612,153.853557456388,154.287271271806,153.998128728194,154.1998,154.437495977622,153.962104022378,154.318647988811,154.080952011189,154.3048,154.371454332192,154.238145667808,154.338127166096,154.271472833904,0.144571271805917,0.118847988811108,0.03332716609614
154.35,154.4,154.17,154.18,80,154.319,0,73,59,0,0,1.0208646181325,153.39044,154.968851713187,151.812028286813,154.179645856594,152.601234143406,154.16915,154.416156733341,153.922143266659,154.292653366671,154.04564663333,154.2307,154.437000859049,154.024399140951,154.333850429525,154.127549570475,154.317,154.358352146256,154.275647853744,154.337676073128,154.296323926872,0.123503366670501,0.10315042952461,0.0206760731281347
154.19,154.24,154.16,154.17,40,154.192,0,36,60,0,0,1.02002447656534,153.4342,154.976633380958,151.891766619042,154.205416690479,152.662983309521,154.1786,154.412981066237,153.944218933763,154.295790533119,154.061409466881,154.2423,154.421160715518,154.063439284482,154.331730357759,154.152869642241,154.2968,154.41812106165,154.175478938349,154.357460530825,154.236139469175,0.117190533118645,0.0894303577589235,0.0606605308252359
154.17,154.31,154.17,154.25,108,154.229,0,84,61,0,0,1.02026924221877,153.47536,154.98978882127,151.96093117873,154.232574410635,152.718145589365,154.18585,154.416856288363,153.954843711637,154.301353144181,154.070346855819,154.2552,154.404633894712,154.105766105288,154.329916947356,154.180483052644,154.2822,154.417191851606,154.147208148394,154.349695925803,154.214704074197,0.115503144181404,0.0747169473561533,0.0674959258029622
154.23,154.36,154.17,154.32,46,154.265,0,38,62,0,0,1.02050739258426,153.50944,155.016558193976,152.002321806024,154.262999096988,152.755880903012,154.18765,154.420624608962,153.954675391038,154.304137304481,154.071162695519,154.2676,154.393669469385,154.141530530615,154.330634734693,154.204565265307,154.266,154.380612390255,154.151387609745,154.323306195128,154.208693804872,0.116487304481062,0.0630347346926877,0.0573061951275676
154.35,154.38,154.27,154.34,29,154.315,0,29,63,0,0,1.02083815698078,153.54162,155.047427743914,152.035812256086,154.294523871957,152.788716128043,154.1887,154.423871695397,153.953528304603,154.306285847698,154.071114152302,154.2844,154.380178448051,154.188621551949,154.332289224026,154.236510775974,154.264,154.373708705215,154.154291294785,154.318854352608,154.209145647392,0.117585847698385,0.0478892240256333,0.0548543526076019
154.33,154.38,154.28,154.34,50,154.344,0,46,64,0,0,1.02103000033076,153.57772,155.071919781195,152.083520218805,154.324819890597,152.830620109403,154.19535,154.440487362138,153.950212637862,154.317918681069,154.072781318931,154.293,154.393567279857,154.192432720143,154.343283639928,154.242716360072,154.269,154.392636564171,154.145363435829,154.330818282085,154.207181717914,0.12256868106881,0.0502836399283502,0.0618182820854737
154.34,154.34,154.25,154.34,40,154.314,0,37,65,0,0,1.02083154169285,153.61996,155.074300327911,152.165619672089,154.347130163955,152.892789836045,154.2032,154.453173977593,153.953226022407,154.328186988797,154.078213011204,154.2951,154.396540513493,154.193659486507,154.345820256747,154.244379743253,154.2934,154.385079877836,154.201720122164,154.339239938918,154.247560061082,0.12498698879652,0.050720256746629,0.0458399389179296
154.34,154.43,154.28,154.36,64,154.36,0,61,66,0,0,1.02113584493765,153.66422,155.069462272089,152.258977727911,154.366841136044,152.961598863956,154.21455,154.471616425985,153.957483574016,154.343083212992,154.086016787008,154.3009,154.410405758347,154.191394241653,154.355652879173,154.246147120827,154.3196,154.392134129898,154.247065870102,154.355867064949,154.283332935051,0.12853321299223,0.0547528791734053,0.0362670649488017
154.34,154.39,154.29,154.37,74,154.344,0,58,67,0,0,1.02103000033076,153.70952,155.050756726887,152.368283273113,154.380138363444,153.038901636556,154.2333,154.46875083295,153.99784916705,154.351025416475,154.115574583525,154.3007,154.409846384884,154.191553615116,154.355273192442,154.246126807558,154.3354,154.375738567154,154.295061432846,154.355569283577,154.315230716423,0.117725416474995,0.0545731924421962,0.0201692835767713
